place_type,name,cafe_latitude,cafe_longitude,distance,source_latitude,source_longitude
cafe,Caribou Coffee,35.908964,-78.7845099,1311.8544133551388,35.91,-78.77
cafe,Panera Bread,35.9138504,-78.7797176,974.2728459020474,35.91,-78.77
cafe,Starbucks,35.912678,-78.78067,1006.0174536367601,35.91,-78.77
cafe,Starbucks,35.903108,-78.785371,1582.351571652407,35.91,-78.77
cafe,Kung Fu Tea,35.9112978,-78.78509249999999,1366.875692185781,35.91,-78.77
cafe,Starbucks,35.9191622,-78.787764,1896.6139457046536,35.91,-78.77
cafe,Ding Cha,35.9026599,-78.7878044,1799.3204497576294,35.91,-78.77
cafe,Bruegger's Bagels,35.9087479,-78.7839597,1264.9219985019931,35.91,-78.77
cafe,McDonald's,35.9104055,-78.78221889999999,1101.3685978674266,35.91,-78.77
cafe,McDonald's,35.9122551,-78.77848569999999,804.3084149200565,35.91,-78.77
cafe,Starbucks,35.9047938,-78.7811792,1161.4063844101686,35.91,-78.77
