place_type,name,grocery_latitude,grocery_longitude,distance,source_latitude,source_longitude
grocery_or_supermarket,Royal Blue Grocery,30.2648763,-97.7420028,575.3276894675032,30.26,-97.74
grocery_or_supermarket,Austin SuperMarket,30.2545625,-97.73727799999999,658.7253682187253,30.26,-97.74
grocery_or_supermarket,Royal Blue Grocery,30.267667,-97.74940959999999,1242.3728012788085,30.26,-97.74
grocery_or_supermarket,Royal Blue Grocery,30.268323,-97.74224699999999,950.3027879860404,30.26,-97.74
grocery_or_supermarket,Trader Joe's,30.2677805,-97.7526704,1493.072630691264,30.26,-97.74
grocery_or_supermarket,Royal Blue Grocery,30.2572702,-97.7392261,312.5082233506056,30.26,-97.74
grocery_or_supermarket,Royal Blue Grocery,30.2624553,-97.7252084,1446.6281354728137,30.26,-97.74
grocery_or_supermarket,Target Grocery,30.2637773,-97.7332349,773.6745205714851,30.26,-97.74
grocery_or_supermarket,Whole Foods Market,30.26441149999999,-97.73405149999999,753.005729944318,30.26,-97.74
grocery_or_supermarket,Whole Foods Market,30.2706339,-97.753587,1760.9304968413928,30.26,-97.74
grocery_or_supermarket,Royal Blue Grocery,30.2609234,-97.7388359,151.79900605873303,30.26,-97.74
